Brand_name,Series_name,Model_num
HP,Elite,1040-14-14
HP,Elite,1040-G11-14
HP,Elite,1040-G11-35.6
HP,OmniBook-7,"13-bg1456AU,"
HP,OmniBook-7,"13-bg1678AU,"
HP,Pro,13.3-cm
HP,Omnibook-Ultra,14-fd0009AU
HP,OmniBook-X,14-fe0121QU
HP,OmniBook-X,14-fe1011QU
HP,Omnibook-Ultra,"14-fh0026TU,"
HP,Omnibook-Ultra,"14-fh0029TU,"
HP,Omnibook-Ultra,"14-fh0046TU,"
HP,Omnibook-Ultra,14-fh0367TU
HP,OmniBook-X,14-fm0026TU
HP,OmniBook-X,14-fm0029TU
HP,OmniBook-X,14-fm0058TU
HP,Elitebook-Ultra,14-G1i
HP,OmniBook-5,"16-ag1034AU,"
HP,OmniBook-5,"16-ag1035AU,"
HP,OmniBook-5,"16-ag1037AU,"
HP,OmniBook-5,"16-ag1048AU,"
HP,OmniBook-5,"16-ag1147AU,"
HP,OmniBook-5,"16-ba1008TU,"
HP,Pro,4-14-G1i
HP,Pro,440-G10-14
HP,Pro,440-G11-14
HP,Pro,445-G11-14
HP,Pro,445-G9-14
HP,Pro,450-G10-15.6
HP,Elite,6-13.3-G1i
HP,Elite,6-14-G1i
HP,Elite,640-G10-35.6
HP,Elite,8-13.3-G1i
HP,Elite,8-14-G1i
HP,Elite,8-G1i-13.3
HP,Elite,830-G11-13.3
HP,Elite,830-G11-14
HP,Elite,840-G11-35.6
HP,Elite,845-G11-35.6
HP,Spectre,aa0015tu
HP,Pavilion,af0015tu
HP,Pavilion,af0028tu
HP,OMEN,ah0076tx
HP,Chromebook,cd0011tu
HP,OMEN,cm2027tx
HP,Pavilion,eg3027tu
HP,Pavilion,ek1010tu
HP,Pavilion,ek1021tu
HP,Pavilion,ek1074tu
HP,Pavilion,ek1148tu
HP,Spectre,eu0558tu
HP,Spectre,eu0670tu
HP,Pavilion,ew0107tu
HP,Pavilion,ew0108tu
HP,Pavilion,ew0116tu
HP,Pavilion,ew1082tu
HP,Pavilion-Plus,ew1112tu
HP,ENVY,fa0052au
HP,ENVY,fa0108au
HP,ENVY,fa0986au
HP,Victus,fa1278tx
HP,Victus,fa1317tx
HP,Victus,fa1413tx
HP,Victus,fa1415tx
HP,Victus,fa2071tx
HP,Victus,fa2078tx
HP,Victus,fa2700tx
HP,Victus,fa2701tx
HP,Victus,fa2703tx
HP,OMEN,fb0007tx
HP,Victus,fb0184ax
HP,Victus,fb2114ax
HP,Victus,fb3004ax
HP,Victus,fb3012ax
HP,Victus,fb3025ax
HP,ENVY,fc0078tu
HP,ENVY,fc0105tu
HP,ENVY,fc0178tu
HP,ENVY,fc0179tu
HP,ZBOOK,Firefly-G11-14
HP,ZBOOK,Firefly-G11-16
HP,ZBOOK,Fury-G11-16
HP,Elitebook-X,G1a-14
HP,Elitebook-X,G1i-14
HP,Elitebook-Ultra,G1q-14
HP,ZBOOK,Power-G11-16
HP,Victus,r1703tx
HP,ZBOOK,Studio-G10-16
HP,ZBOOK,Studio-G11-16
HP,OMEN,wd0012tx
HP,OMEN,wf0262tx
HP,OMEN,wf1096tx
HP,OMEN,wf1150tx
HP,OMEN,wf1171tx
HP,OMEN,xd0015ax
HP,OMEN,xd0017ax
HP,OMEN,xd0020ax
HP,OMEN,xf0100ax
