Brand,Series,Model
ThinkPad,E14,Gen-5-AMD
ThinkPad,E14,Gen-5-AMD
ThinkPad,E14,Gen-5-Intel
ThinkPad,E14,Gen-6-AMD
ThinkPad,E14,Gen-6-Intel
ThinkPad,E14,Gen-7-Intel
ThinkPad,E16,Gen-1-AMD
ThinkPad,E16,Gen-1-Intel
ThinkPad,E16,Gen-2-AMD
ThinkPad,E16,Gen-2-Intel
ThinkPad,E16,Gen-3-Intel
ThinkPad,L13,2-in-1-Gen-5-Intel
ThinkPad,L13,2-in-1-Gen-5-Intel
ThinkPad,L13,Gen-4-AMD
ThinkPad,L13,Gen-4-Intel
ThinkPad,L13,Gen-5-Intel
ThinkPad,L13,Yoga-Gen-4-AMD
ThinkPad,L13,Yoga-Gen-4-Intel
ThinkPad,L14,Gen-4-AMD
ThinkPad,L14,Gen-4-Intel
ThinkPad,L14,Gen-5-AMD
ThinkPad,L14,Gen-5-Intel
ThinkPad,L15,Gen-4-AMD
ThinkPad,L15,Gen-4-Intel
ThinkPad,L16,Gen-1-AMD
ThinkPad,L16,Gen-1-Intel
ThinkPad,P1,Gen-6
ThinkPad,P1,Gen-6
ThinkPad,P1,Gen-7
ThinkPad,P14s,Gen-4-AMD
ThinkPad,P14s,Gen-4-Intel
ThinkPad,P14s,Gen-5-AMD
ThinkPad,P14s,Gen-5-Intel
ThinkPad,P14s,Gen-6-AMD
ThinkPad,P16,Gen-2
ThinkPad,P16s,Gen-2-AMD
ThinkPad,P16s,Gen-2-Intel
ThinkPad,P16s,Gen-3-Intel
ThinkPad,P16s,Gen-4-AMD
ThinkPad,P16v,Gen-1-AMD
ThinkPad,P16v,Gen-1-Intel
ThinkPad,P16v,Gen-2-Intel
ThinkPad,T14,Gen-4-AMD
ThinkPad,T14,Gen-4-AMD
ThinkPad,T14,Gen-4-Intel
ThinkPad,T14,Gen-5-AMD
ThinkPad,T14,Gen-5-Intel
ThinkPad,T14,Gen-6-AMD
ThinkPad,T14s,Gen-4-AMD
ThinkPad,T14s,Gen-4-Intel
ThinkPad,T14s,Gen-5
ThinkPad,T14s,Gen-6-AMD
ThinkPad,T14s,Gen-6-Intel
ThinkPad,T14s,Gen-6-Snapdragon
ThinkPad,T16,Gen-2-AMD
ThinkPad,T16,Gen-2-Intel
ThinkPad,T16,Gen-3
ThinkPad,T16,Gen-4-AMD
ThinkPad,X13,2-in-1-Gen-5
ThinkPad,X13,2-in-1-Gen-5
ThinkPad,X13,Gen-4-AMD
ThinkPad,X13,Gen-4-Intel
ThinkPad,X13,Gen-5
ThinkPad,X13,Yoga-Gen-4
ThinkPad,X1,2-in-1-Gen-10
ThinkPad,X1,2-in-1-Gen-10
ThinkPad,X1,2-in-1-Gen-9
ThinkPad,X1,Carbon-Gen-11
ThinkPad,X1,Carbon-Gen-12
ThinkPad,X1,Carbon-Gen-13
ThinkPad,X1,Yoga-Gen-8
ThinkPad,X9,14-Gen-1
ThinkPad,X9,14-Gen-1
ThinkPad,X9,15-Gen-1
ThinkBook,13x,G4-IMH
ThinkBook,13x,G4-IMH
ThinkBook,14,2-in-1-G4-IML
ThinkBook,14,2-in-1-G5-IAU
ThinkBook,14,G6-ABP
